league,season
1. HNL,20-21
2. Bundesliga,21-22
2. HNL,22-23
3. Liga,24-25
A-League Men,2020
Albanian Kategoria Superiore,2021
Allsvenskan,2022
Andorra Primera Divisio,2023
Andorra Primera DivisiÃ³,2024
Argentina Copa de la Liga,23-24
Argentina LPF,
Argentina Primera Nacional,
Argentina Reserve League,
Armenian Premier League,
Austrian 2. Liga,
Austrian Bundesliga,
Azeri Birinci Dasta,
Azeri Premyer Liqa,
Belgian First Division B,
Belgian Pro League,
Besta-deild karla,
Bolivian LFPB,
Bosnian Premier League,
Botola Pro,
Brasileirao,
BrasileirÃ£o,
Brazil Serie B,
Brazil Serie C,
BRI Liga 1,
Bulgarian First League,
Bundesliga,
Cambodian Premier League,
Campeonato de Portugal,
Canadian Premier League,
Capital Territory NPL,
Championship,
Chilean Primera B,
Chilean Primera Division,
Chilean Primera DivisiÃ³n,
China League One,
China League Two,
Chinese Super League,
Colombian Primera A,
Colombian Torneo BetPlay,
Costa Rican Primera Division,
Costa Rican Primera DivisiÃ³n,
Cyprus 1. Division,
Cyprus 2. Division,
Czech 1. Liga U19,
Czech FNL,
Czech Fortuna Liga,
Czech U17 League,
Danish 1. Division,
Danish 2. Division,
Danish 3. Division,
Danish U17 Division,
Danish U17 Ligaen,
Danish U19 Division,
Danish U19 Ligaen,
Ecuador Liga Pro,
Eerste Divisie,
Egyptian Premier League,
Ekstraklasa,
El Salvador Primera Division,
El Salvador Primera DivisiÃ³n,
Eliteserien,
English National League,
English National League North South,
Eredivisie,
Erovnuli Liga 2,
Erovnuli Liga,
Estonia Meistriliiga,
Estonian Esiliiga A,
Ettan,
French National 1,
Greek Super League,
Greek U19 Super League,
Guatemalan Liga Nacional,
Honduran Liga Nacional,
Hong Kong Premier League,
Iceland 1. Deild,
Indian Super League,
Irish First Division,
Irish Premier Division,
J1,
J2,
J3,
Jordan Pro League,
K League 1,
K League 2,
K3 League,
K4 League,
Kazakh 1. Division,
Kazakh 2. Division,
Kazakh Premier League,
Kazakh U17 League,
Kazakh U18 League,
Kosovo Superliga,
Kyrgyz Premier League,
La Liga 2,
La Liga,
Latvian 1. Liga,
Latvian Virsliga,
League One,
League Two,
Liga de Expansion MX,
Liga de ExpansiÃ³n MX,
Liga Leumit,
Liga MX,
Ligat ha'Al,
Ligue 1,
Ligue 2,
Lithuanian 1 Lyga,
Lithuanian A Lyga,
Luxembourg National Division,
Malaysian Super League,
Malta Challenge League,
Malta Premier League,
Mexican U23 League,
MLS,
MLS Next Pro,
Moldovan Super Liga,
Motenegro First League,
Motenegro Second League,
NB I,
NB II,
New South Wales NPL,
New Zealand National League,
Nicaragua Primera Division,
North Macedonia First League,
Northern Irish Premiership,
Norwegian 2. Division,
OBOS Ligaen,
Panama LPF,
Paraguay Division Profesional,
Peruvian Liga 1,
Polish I Liga,
Polish II Liga,
Portuguese Liga 3,
Portuguese Segunda Liga,
Premier League,
Primavera 1,
Primeira Liga,
Primera RFEF,
Qatari Stars League,
Queensland NPL,
Queensland Premier League,
Regionalliga,
Romanian Liga II,
Romanian Superliga,
Russian First League,
Russian Premier League,
Saudi Division 1,
Saudi Pro League,
Scottish Championship,
Scottish League One,
Scottish League Two,
Scottish Premiership,
Segunda RFEF,
Serbian Prva Liga,
Serbian Super Liga,
Serie A,
Serie B,
Serie C,
Singapore Premier League,
Slovak 2. Liga,
Slovak Super Liga,
Slovak U19 League,
Slovenian 1. SNL,
Slovenian 2. SNL,
South Australia NPL,
South Australia State League 1,
Super Lig,
Superettan,
Superliga,
Swiss 1. Liga Classic,
Swiss 1. Liga Promotion,
Swiss Challenge League,
Swiss Super League,
SÃ¼per Lig,
Thai League 1,
Thai League 2,
Tunisia Ligue 1,
Turkish 1. Lig,
Tweede Divisie,
U17 Bundesliga,
U19 Bundesliga,
UAE Pro League,
Ukrainian Persha Liga,
Ukrainian Premier League,
Uruguay Primera Division,
Uruguay Primera DivisiÃ³n,
USL Championship,
USL League 1,
Uzbek Super League,
V.League 1,
Veikkausliiga,
Victoria NPL,
Welsh Premier League,
Ykkonen,
Ykkosliiga,
YkkÃ¶nen,
YkkÃ¶sliiga,
Bahrain Premier League,
Mexican U18 League,
Nigerian Creative Championship,
Serbian U17 League,
Serbian U19 League,
